epoch,object,raoff,raoff_err,decoff,decoff_err,sep,sep_err,pa,pa_err,rv,rv_err
52953,1,233.5,22,340.7,22,413,22,34.42,3.52,,
55129,1,-152.8,14,-257,14,299,14,210.74,2.89,,
55194,1,-162.5,9,-259.3,8,306,9,212.07,1.71,,
55296,1,-172.6,7,-299.9,7,346,7,209.93,1.15,,
55467,1,-193.1,11,-330.7,11,383,11,210.28,1.73,,
55516,1,-207.4,8,-326.7,10,387,8,212.41,1.35,,
55517,1,-208.6,13,-329.5,14,390,13,212.34,2.13,,
55593,1,-210.9,9,-349.2,10,408,9,211.13,1.48,,
55646,1,-213.8,12,-368.4,14,426,13,210.13,1.81,,
55168,1,-158.1,10,-281.7,10,323,10,209.3,1.8,,
55168,1,-165.4,10,-295.9,10,339,10,209.2,1.7,,
55555,1,-221.1,6.8,-341.7,8.8,407,5,212.9,1.4,,
55854,1,-240.4,3.1,-386.3,3.1,455,3,211.9,0.4,,
55854,1,-236.8,4.9,-385,4.8,452,5,211.6,0.6,,
56015,1,-228.9,3,-384,3.1,447,3,210.8,0.4,,
56015,1,-236.1,4.9,-380.8,4.8,448,5,211.8,0.6,,
56263,1,-243.6,12.9,-391.4,11,461,14,211.9,1.2,,
56265,1,-249.1,10,-398.6,9.9,470,10,212,1.2,,
56612.01000000001,1,,,,,0430.757,1.535,212.43,0.1681,,
56612.01000000001,1,,,,,0429.093,1.03,212.577,0.1509,,
56614.0175,1,,,,,0430.193,0.9790000000000001,212.463,0.1476,,
56635.99049999996,1,,,,,0425.502,1.003,212.508,0.1547,,
56635.99049999996,1,,,,,0424.389,0.987,212.845,0.151,,
56637.01250000004,1,,,,,0425.29,1.03,212.466,0.156,,
56969.01650000003,1,,,,,0356.24699999999996,0.9990000000000001,213.025,0.1947,,
57113.9945028854,1,,,,,0317.28299999999996,0.9319999999999999,213.13,0.1977,,
57332.00899822457,1,,,,,0250.491,1.453,214.145,0.3426,,
57360.989999143494,1,,,,,0240.194,1.056,213.575,0.3418,,
57377.99899968289,1,,,,,0234.514,0.9600000000000001,213.807,0.3006,,
57407.983600631924,1,,,,,0222.575,2.1310000000000002,214.838,0.4433,,
58381.98249999996,1,,,,,0141.9,5.3,28.16,1.82,,
56998.98299999997,1,,,,,0350.51,3.2,212.6,0.66,,
57045.99500072921,1,,,,,0335.488,0.9148000000000001,212.882,0.2014,,
57058.00350110996,1,,,,,0332.42,1.7,212.58,0.35,,
57295.983497082205,1,,,,,0262.02,1.7799999999999998,213.02,0.48,,
57355.98949898494,1,,,,,0242.04999999999998,2.5100000000000002,213.3,0.74,,
57382.013999810195,1,,,,,0234.84,1.8,213.79,0.51,,
57406.99540060067,1,,,,,0227.23,1.55,213.15,0.46,,
57472.98520268747,1,,,,,0203.66,1.42,213.9,0.46,,
57493.993603351875,1,,,,,0197.49,2.3600000000000003,213.88,0.83,,
57647.018208190944,1,,,,,0142.35999999999999,2.34,214.62,1.1,,
57675.01720907641,1,,,,,0134.5,2.46,215.5,1.22,,
57710.006810182844,1,,,,,0127.12,6.44,215.8,3.37,,
58378.003999999964,1,,,,,0140.46,3.12,29.71,1.67,,
58441.003000000004,1,,,,,0164.5,1.8,28.64,0.7,,
